origin,participant_id,age,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status,Knowledge of software development techniques ,platform: Desktop,platform: Mobile,platform: Web (Back-end),platform: Web (Front-end),platform: WebAssembly,platform: Server / Infrastructure,platform: IoT / Embedded,platform: Classic AUTOSAR ECU,platform: Adaptive AUTOSAR ECU,platform: Consoles (Xbox / PlayStation / Nintendo etc.),platform: Not decided yet (research / proof of concept),platform: I don't develop anything,platform: Other,softwareType: Automotive Chassis,softwareType: Automotive Drive Train,"softwareType: Automated Driving, Driver Assistance",softwareType: Augmented Reality / Virtual Reality,softwareType: Business Intelligence / Data Science / Machine Learning,softwareType: Blockchain,softwareType: Database / Data Storage,softwareType: Education / Training,softwareType: Entertainment / Infotainment,softwareType: Fintech (Finance),softwareType: Games,softwareType: Hardware,softwareType: Home Automation,softwareType: IT Infrastructure,softwareType: Libraries / Frameworks,softwareType: Programming Tools,softwareType: Security,softwareType: System Software (e.g. OS driver),softwareType: Utilities (small apps for small tasks),softwareType: Websites,softwareType: Other,codeSize,teamSize,testLevel: Unit Tests,testLevel: Component Tests,testLevel: Integration Tests,testLevel: System Tests,testLevel: Software in the loop Tests (i),testLevel: Platform in the loop Tests,testLevel: Hardware in the loop Tests,testLevel: Other,testingPractices: Manual testing,testingPractices: Automated testing,testingPractices: Continuous Integration,testingPractices: Regression Testing,testingPractices: Fuzzing,testingPractices: Property based testing,testingPractices: Parameterized tests,testingPractices: Test generation,testingPractices: Other,frequency,severity,consequences: Rerun of failing tests without analyzing the failure,consequences: Rerun of passing tests assuming hidden bugs,consequences: Developer time gets wasted inspecting flaky failures,consequences: Computing power is spent rerunning flaky tests,consequences: Merging pull-requests is harder because this requires a passing test suite,consequences: Delayed releases,otherConsequences: otherConsequences1,otherConsequences: otherConsequences2,otherConsequences: otherConsequences3,rootCause: Making asynchronous calls without waiting for the result properly (thread.sleep),"rootCause: Race conditions, deadlocks or other concurrency related errors",rootCause: Prior test did not cleanup properly after running (i),rootCause: Another test that should run before your test and set up the environment was not executed (successfully) (i),rootCause: Could not acquire resources because of a resource leak (i),rootCause: Remote connection failure (i),rootCause: Local bad socket management,rootCause: Relying on the system time (i),rootCause: Accessing values that were already deleted by the garbage collector or relying on the garbage collector to have already cleaned up,rootCause: Using randomness without accounting for all possible values,rootCause: Rounding errors when using floating-point operations,rootCause: Assuming a specific order when iterating over unordered collections,rootCause: Asserting a too restrictive range (i),rootCause: Single test takes too long (Test case timeout),rootCause: All tests together take too long (Test suite timeout),"rootCause: Relying on a specific platform (e.g. 32/64 bit, Kernel version)",rootCause: The test infrastructure fails to provide a proper environment (e.g. installing dependencies),rootCause: Reading values from uninitialized variables,rootCause: Differences between compilers likeundefined behavior or compiler optimizations,"rootCause: Using random, non-seeded values for testing",rootCause: Unknown Cause,otherRootCauses: otherRootCause1,otherRootCauses: otherRootCause2,otherRootCauses: otherRootCause3,mitigationStrategies: Rerun failing tests,mitigationStrategies: Rerun test in different environment,mitigationStrategies: Shuffle test order,mitigationStrategies: Mark test as flaky (i),mitigationStrategies: Disable test case,mitigationStrategies: Automatically disable tests that show flaky behavior,mitigationStrategies: Automatically file bug report / issue,mitigationStrategies: Automatically detect flaky tests (i),mitigationStrategies: Automatically debug flaky failures (i),mitigationStrategies: Visualize Flakiness (i),mitigationStrategies: Quantify flakiness (i),mitigationStrategies: Encourage developers to fix their flaky tests through incentives or penalties,otherMitigations: otherMitigations1,otherMitigations: otherMitigations2,otherMitigations: otherMitigations3,wishes
global,72,32.0,Estonia,United Kingdom,Full-Time,Finnish,Finland,Male,No,"Debugging, Database management, Background processing, A/B testing, Version control, Web servers, Cloud computing, Shell scripting, Functional testing, Unit testing, Virtualisation",Not checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,100k - 1M LOC,6 - 10,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Monthly,A minor problem,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,,,,Very Often,Very Often,Rarely,Rarely,Sometimes,Very Often,Rarely,Never,Rarely,Rarely,Rarely,Sometimes,Sometimes,Very Often,Very Often,Never,Sometimes,Sometimes,Sometimes,Never,Rarely,,,,Very Often,Rarely,Sometimes,Very Often,Never,Rarely,Sometimes,Sometimes,Sometimes,Never,Rarely,Very Often,,,,The history of the test results to track flakiness
global,73,30.0,Poland,Poland,Full-Time,Polish,Poland,Female,No,Web servers,Checked,Not checked,Checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,10k - 100k LOC,6 - 10,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Monthly,A minor problem,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,,,,Rarely,Sometimes,Rarely,Rarely,Sometimes,Very Often,Rarely,Very Often,Rarely,Very Often,Sometimes,Sometimes,Rarely,Very Often,Very Often,Rarely,Very Often,Sometimes,Rarely,Very Often,Very Often,,,,Always,Always,Very Often,Very Often,Very Often,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,,
global,74,,India,Netherlands,Full-Time,DATA EXPIRED,India,Male,No,"Cloud computing, Shell scripting, Version control, Debugging, Database management",Checked,Checked,Checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Checked,Not checked,Checked,Checked,Not checked,Not checked,Checked,Checked,Not checked,100k - 1M LOC,More than 100 developers,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,A few times a year,A moderate problem,Rarely,Sometimes,Very Often,Sometimes,Very Often,Sometimes,Inspecting huge test logs,Multiple flaky test failures,,Sometimes,Very Often,Always,Very Often,Very Often,Very Often,Rarely,Rarely,Rarely,Never,Rarely,Sometimes,Sometimes,Very Often,Sometimes,Rarely,Very Often,Rarely,Rarely,Rarely,Sometimes,,,,Very Often,Rarely,Rarely,Never,Never,Never,Never,Sometimes,Rarely,Never,Rarely,Sometimes,,,,Database of frequently failing test cases and their reasons<br><br>Stable test environment<br><br>Sufficient timeouts and avoiding hard coded values
global,75,25.0,Italy,Italy,Full-Time,Italian,Italy,Male,Yes,"Cloud computing, Shell scripting, Background processing, Version control, Virtualisation, Debugging, Functional testing, Unit testing, Web servers, Database management, Monitoring",Checked,Checked,Checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,10k - 100k LOC,6 - 10,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Monthly,A moderate problem,Sometimes,Sometimes,Always,Rarely,Very Often,Very Often,,,,Sometimes,Very Often,Rarely,Rarely,Sometimes,Very Often,Very Often,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Never,Rarely,Sometimes,,,,Very Often,Sometimes,Very Often,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Never,Never,Never,,,,
global,76,22.0,Belgium,Belgium,Full-Time,Dutch,Belgium,Male,No,"Version control, Debugging, Unit testing, Web servers, Responsive design",Not checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Checked,Checked,Not checked,10k - 100k LOC,2 - 5,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,A few times a year,A minor problem,Sometimes,Never,Sometimes,Never,Never,Never,,,,Never,Sometimes,Sometimes,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,,,,Never,Sometimes,Never,Rarely,Very Often,Never,Never,Never,Never,Never,Never,Never,,,,"Just the basic debugging tools. A stack trace of a test error, along with the state of the test at time of failure would suffice."
global,77,31.0,Portugal,Portugal,Full-Time,Portuguese,Portugal,Female,No,"Database management, Web servers, Unit testing, Debugging, Version control, caching, Cloud computing",Not checked,Not checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,10k - 100k LOC,21 - 100,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Monthly,A moderate problem,Very Often,Sometimes,Always,Never,Rarely,Rarely,,,,Sometimes,Very Often,Always,Rarely,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Never,Rarely,Not answered,,,,Very Often,Rarely,Very Often,Rarely,Very Often,Sometimes,Never,Very Often,Very Often,Never,Never,Never,,,,"An IDE with debug mode is usually enough, at least for unit or component tests. As for integration tests, I usually rely on log files, and the code itself. <br>Having SonarLint enabled on IDE is also useful for preventing more obvious cases."
global,78,35.0,Spain,Spain,Full-Time,Spanish,Spain,Male,Yes,"Background processing, Version control, Debugging, Unit testing, Web servers, Database management",Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,100k - 1M LOC,11 - 20,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Monthly,A moderate problem,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,,,,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Rarely,Never,Never,Rarely,Rarely,Never,Rarely,,,,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,Rarely,Rarely,,,,I'd like to know as much things as possible about the external system to which I'm pointing at
global,79,28.0,"Venezuela, Bolivarian Republic of",Hungary,Full-Time,Spanish,"Venezuela, Bolivarian Republic of",Male,No,Cloud computing,Checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Checked,Not checked,10k - 100k LOC,21 - 100,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,A few times a year,A minor problem,Rarely,Rarely,Sometimes,Rarely,Very Often,Rarely,Bug problems,,,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,,,,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,,,,I have not found any tool to find these inestabilities
global,80,26.0,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,No,Debugging,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,1k - 10k LOC,2 - 5,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Daily,A minor problem,Very Often,Sometimes,Rarely,Sometimes,Rarely,Sometimes,,,,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Very Often,Rarely,Rarely,Sometimes,Rarely,Very Often,Sometimes,Rarely,Very Often,Sometimes,Rarely,Very Often,Sometimes,Very Often,Very Often,,,,Sometimes,Very Often,Rarely,Very Often,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Sometimes,Very Often,Rarely,,,,
global,81,48.0,France,France,Full-Time,French,France,Male,No,"Search technologies, caching, Version control, Debugging, Functional testing, Unit testing, Database management, Responsive design, UI design, UX",Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,100k - 1M LOC,6 - 10,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Weekly,A moderate problem,Sometimes,Rarely,Very Often,Rarely,Rarely,Very Often,,,,Very Often,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Never,Rarely,Never,Never,Sometimes,Never,Never,Rarely,,,,Very Often,Rarely,Rarely,Never,Never,Sometimes,Very Often,Never,Always,Never,Never,Never,,,,
global,82,26.0,Poland,Poland,Full-Time,Polish,Poland,Male,No,"Search technologies, Web servers, Database management",Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,1k - 10k LOC,6 - 10,Not checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Weekly,A moderate problem,Sometimes,Very Often,Always,Sometimes,Sometimes,Very Often,,,,Rarely,Very Often,Very Often,Sometimes,Sometimes,Very Often,Rarely,Very Often,Sometimes,Sometimes,Rarely,Rarely,Very Often,Very Often,Very Often,Sometimes,Rarely,Rarely,Very Often,Rarely,Very Often,,,,Sometimes,Very Often,Very Often,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Very Often,,,,Flaky bot
global,83,27.0,Nepal,New Zealand,Part-Time,Nepali,Nepal,Male,Yes,"Shell scripting, Web servers, Debugging, Version control",Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,less than 1k LOC,Just me,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Monthly,A minor problem,Sometimes,Sometimes,Rarely,Rarely,Very Often,Sometimes,,,,Very Often,Very Often,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Very Often,Rarely,Never,Sometimes,Sometimes,Sometimes,Very Often,Very Often,Sometimes,Sometimes,Very Often,Sometimes,Sometimes,Not answered,,,,Always,Never,Very Often,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,,,,Document and determine the the cause of failures. <br>Use plugins to rerun tests.
global,84,33.0,Portugal,United Kingdom,Full-Time,Portuguese,Portugal,Male,No,"Web servers, Background processing, Debugging, Unit testing, Database management, Shell scripting, Virtualisation, Responsive design, Functional testing, Monitoring, Cloud computing, Version control",Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Checked,Not checked,Checked,10k - 100k LOC,2 - 5,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Checked,Checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,A few times a year,A moderate problem,Never,Rarely,Never,Never,Sometimes,Rarely,,,,Never,Sometimes,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Rarely,Never,Never,Sometimes,Never,Never,Never,Rarely,,,,Very Often,Sometimes,Rarely,Rarely,Never,Never,Sometimes,Rarely,Never,Never,Never,Rarely,,,,"Further data about the test execution across multiple environments, for example."
global,85,37.0,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,No,"Version control, Monitoring, Functional testing, Unit testing",Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,1M - 10M LOC,21 - 100,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Not checked,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Monthly,A moderate problem,Rarely,Sometimes,Very Often,Sometimes,Very Often,Sometimes,,,,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Very Often,Very Often,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,,,,Very Often,Very Often,Sometimes,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,,,,
global,86,24.0,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,DATA EXPIRED,"Cloud computing, UI design",Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,1k - 10k LOC,Just me,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Monthly,A minor problem,Rarely,Rarely,Rarely,Never,Never,Never,,,,Sometimes,Rarely,Never,Never,Never,Very Often,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very Often,Very Often,Never,Always,Never,Very Often,,,,Always,Always,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,,,,Weitten descriptions of the logic behind the test as well as a descriptive log after running it in case of failure.
global,87,33.0,Mexico,Mexico,Full-Time,Spanish,Mexico,Male,No,"Version control, Debugging, Functional testing, Unit testing, A/B testing",Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,100k - 1M LOC,11 - 20,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,A few times a year,A minor problem,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,,,,Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,Never,Never,Rarely,Rarely,Rarely,Rarely,Sometimes,Very Often,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,,,,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,,,,Good debugging tools<br>Standard prácticas and test structure
global,88,22.0,Germany,Germany,Part-Time,German,Germany,Male,Yes,"A/B testing, Search technologies, Unit testing, UI design, UX, Database management, Shell scripting, Debugging, Functional testing",Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,10k - 100k LOC,2 - 5,Checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,A few times a year,A minor problem,Sometimes,Rarely,Very Often,Never,Very Often,Sometimes,,,,Rarely,Sometimes,Very Often,Sometimes,Never,Never,Never,Sometimes,Never,Very Often,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Always,Sometimes,Never,Sometimes,Very Often,,,,Very Often,Very Often,Sometimes,Rarely,Sometimes,Never,Rarely,Always,Always,Rarely,Never,Never,,,,a visualization tool showing the outcomes from the flaky part of the code would be useful.
global,89,22.0,Poland,Poland,Part-Time,Polish,Poland,Male,Yes,"Database management, Web servers, Background processing",Checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Checked,Checked,Not checked,1M - 10M LOC,6 - 10,Not checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Monthly,A minor problem,Sometimes,Very Often,Rarely,Sometimes,Very Often,Rarely,,,,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Never,Never,Never,Never,Never,Never,,,,Very Often,Very Often,Very Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,,,,i have no idea.
global,90,29.0,Pakistan,Italy,Full-Time,Italian,Italy,Male,No,"Version control, Web servers, Database management, Responsive design, Unit testing, Debugging, Shell scripting",Not checked,Not checked,Checked,Checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,10k - 100k LOC,2 - 5,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,A few times a year,A minor problem,Rarely,Rarely,Sometimes,Rarely,Never,Sometimes,,,,Very Often,Sometimes,Very Often,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Always,Sometimes,Always,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Always,Sometimes,,,,Rarely,Rarely,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,,,,the stack trace should be enough. Something valuable will be showing/poiting to timeouts etc (if presents).<br>Maybe if it's possibile to trace this test as flaky will be great.
global,91,25.0,India,United States,Full-Time,Hindi,India,Male,No,"UX, Debugging, Responsive design, Background processing, Version control",Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,more than 10M LOC,More than 100 developers,Checked,Checked,Checked,Checked,Checked,Checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Never,Not a problem,Never,Never,Never,Never,Never,Never,,,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,,,
global,92,24.0,Portugal,Portugal,Part-Time,Portuguese,Portugal,Female,No,"Responsive design, UX",Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,10k - 100k LOC,2 - 5,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Weekly,A serious problem,Very Often,Very Often,Always,Very Often,Very Often,Sometimes,,,,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Very Often,Very Often,Very Often,Sometimes,Very Often,Sometimes,Sometimes,Rarely,,,,Very Often,Very Often,Very Often,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,,,,utilize a CI service
